timestamp,nanoTime,type,x,y,z,w,label
1761853525189,62965369199729,ACC,-1.3603196,9.067601,3.5156546,0.0,
1761853525189,62965369293166,GYRO,-0.12614357,-0.31169376,0.063377224,0.0,
1761853525192,62965372555510,MAG,23.175001,-23.5125,-3.35625,0.0,
1761853525198,62965379005510,ACC,-1.0977074,9.048459,3.9798622,0.0,
1761853525203,62965383832645,GYRO,-0.048716467,-0.22999059,0.048716467,0.0,
1761853525208,62965388998843,MAG,25.35,-24.281252,-3.1312501,0.0,
1761853525216,62965396591656,ACC,-0.9906286,9.062218,3.882953,0.0,
1761853525216,62965396721708,ROT_VEC,0.28670606,0.46661735,0.6549397,0.5206936,
1761853525226,62965406213062,GYRO,0.026267186,-0.089033544,0.017562363,0.0,
1761853525234,62965414877749,MAG,24.712502,-23.625,-2.11875,0.0,
1761853525242,62965422267906,ACC,-1.0594223,9.022736,3.6083765,0.0,
1761853525244,62965424888947,GYRO,0.049174614,0.02611447,-0.011759147,0.0,
1761853525250,62965430359468,ROT_VEC,0.28909272,0.46756044,0.65554136,0.5177626,
1761853525250,62965430505249,MAG,23.175001,-24.956251,-5.1000004,0.0,
1761853525258,62965438776499,ACC,-1.2604194,8.995817,3.231507,0.0,
1761853525267,62965447348999,GYRO,0.033139415,0.061239194,-0.012370012,0.0,
1761853525269,62965449473947,ROT_VEC,0.29585177,0.46833757,0.6476991,0.52308464,
1761853525269,62965449645406,MAG,24.862501,-22.800001,-4.425,0.0,
1761853525284,62965465067854,ACC,-1.3944174,9.0029955,3.1728828,0.0,
1761853525286,62965466929572,GYRO,0.005497783,0.05589413,0.004123337,0.0,
1761853525292,62965472219885,ROT_VEC,0.30304986,0.47052708,0.6368007,0.53033,
1761853525292,62965472353218,MAG,24.69375,-22.518751,-4.2375,0.0,
1761853525300,62965481025927,ACC,-1.2604194,9.010174,3.1728828,0.0,
1761853525308,62965488952489,GYRO,-0.004734202,-0.015729768,0.011453714,0.0,
1761853525308,62965489087697,ROT_VEC,0.3072523,0.4724573,0.62911147,0.53534937,
1761853525309,62965489190406,MAG,24.862501,-22.800001,-4.425,0.0,
1761853525325,62965505896291,ACC,-1.2454642,9.053245,3.2303107,0.0,
1761853525333,62965513375354,GYRO,-0.025809037,-0.04214967,0.0021380268,0.0,
1761853525333,62965513531187,ROT_VEC,0.3115453,0.47251084,0.6237243,0.5391113,
1761853525333,62965513618999,MAG,24.468752,-22.875,-2.8500001,0.0,
1761853525342,62965522395302,ACC,-1.2520444,9.073584,3.3690944,0.0,
1761853525350,62965531160822,GYRO,-0.037568185,-0.032375835,-0.006261364,0.0,
1761853525351,62965531314156,ROT_VEC,0.31241918,0.4735326,0.62244475,0.539188,
1761853525351,62965531429208,MAG,24.468752,-22.875,-2.8500001,0.0,
1761853525362,62965542689260,ACC,-1.2891332,9.022138,3.49053,0.0,
1761853525368,62965548959364,ROT_VEC,0.31206137,0.47421885,0.6224131,0.5388285,
1761853525368,62965549127020,MAG,24.69375,-22.518751,-4.9875,0.0,
1761853525369,62965550046343,GYRO,-0.022601997,-0.0030543238,-0.0050396346,0.0,
1761853525383,62965563652333,ACC,-1.2406785,8.985647,3.4085758,0.0,
1761853525389,62965569719468,ROT_VEC,0.3131314,0.47320232,0.6204937,0.5413094,
1761853525389,62965570176083,MAG,24.900002,-21.50625,-4.59375,0.0,
1761853525391,62965571613062,GYRO,-0.015577052,0.009162972,-0.006261364,0.0,
1761853525404,62965584567385,ACC,-1.1946167,9.055637,3.5892339,0.0,
1761853525409,62965589227958,ROT_VEC,0.31431854,0.4727871,0.61867183,0.5430667,
1761853525409,62965589411864,MAG,25.181252,-23.212502,-4.8187504,0.0,
1761853525411,62965591730562,GYRO,0.02535089,0.06276636,-0.0050396346,0.0,
1761853525424,62965605093218,ACC,-1.2346965,9.020942,3.1555347,0.0,
1761853525431,62965611246291,ROT_VEC,0.3147022,0.47233012,0.6181555,0.54382956,
1761853525431,62965611438426,MAG,25.0125,-22.125,-4.40625,0.0,
1761853525433,62965613378583,GYRO,0.014355322,0.011148282,-0.010079269,0.0,
1761853525448,62965628486447,ACC,-1.3256238,8.992228,3.0885358,0.0,
1761853525449,62965630111708,ROT_VEC,0.31647384,0.4721799,0.6159634,0.5454169,
1761853525450,62965630215197,MAG,25.0125,-22.125,-4.40625,0.0,
1761853525454,62965634202020,GYRO,-0.042455103,4.581486E-4,-0.011606431,0.0,
1761853525467,62965647667281,ACC,-1.3220345,9.019147,3.2027931,0.0,
1761853525469,62965649499572,ROT_VEC,0.31788212,0.47191584,0.61391187,0.5471368,
1761853525469,62965649690718,MAG,23.775002,-24.825,-4.2000003,0.0,
1761853525475,62965655210874,GYRO,-0.06536253,-0.051923506,-0.0013744457,0.0,
1761853525487,62965667759364,ACC,-1.2957134,9.003593,3.4743786,0.0,
1761853525488,62965668809885,ROT_VEC,0.3180454,0.47183716,0.61357856,0.54748344,
1761853525488,62965669023166,MAG,24.750002,-22.03125,-5.71875,0.0,
1761853525495,62965675449312,GYRO,-0.06017018,-0.07391464,-0.0025961753,0.0,
1761853525510,62965691037072,ROT_VEC,0.31913862,0.47060058,0.6121537,0.5495029,
1761853525511,62965691306551,ACC,-1.302892,9.079565,3.7328033,0.0,
1761853525511,62965691396812,MAG,24.88125,-22.81875,-6.2250004,0.0,
1761853525516,62965696813270,GYRO,-0.005497783,-0.03451386,0.0030543238,0.0,
1761853525531,62965711410093,ROT_VEC,0.31953028,0.46969962,0.6114188,0.5508627,
1761853525531,62965711685354,MAG,23.831251,-23.38125,-6.6937504,0.0,
1761853525531,62965711774729,ACC,-1.1820544,9.086145,3.6382868,0.0,
1761853525537,62965717783322,GYRO,0.027794348,0.019394957,-0.004734202,0.0,
1761853525552,62965732999208,ROT_VEC,0.32007363,0.46932867,0.61065847,0.55170614,
1761853525553,62965733255041,ACC,-1.2281163,9.075378,3.4773695,0.0,
1761853525553,62965733336656,MAG,26.23125,-20.8875,-5.7375,0.0,
1761853525558,62965738758635,GYRO,0.03970621,0.08353576,-0.010537418,0.0,
1761853525569,62965750080301,MAG,24.0,-22.85625,-5.5687504,0.0,
1761853525570,62965750414416,ROT_VEC,0.3209866,0.46912077,0.6092555,0.5529024,
1761853525570,62965750558166,ACC,-1.2502499,8.977871,3.162115,0.0,
1761853525579,62965759468426,GYRO,0.024129158,0.06902772,-0.009926553,0.0,
1761853525591,62965771313895,MAG,24.768751,-22.03125,-6.1687503,0.0,
1761853525592,62965772322958,ROT_VEC,0.3218075,0.46933484,0.6080191,0.5536041,
1761853525592,62965772477958,ACC,-1.2029916,8.889935,3.1980073,0.0,
1761853525600,62965780443010,GYRO,-0.008246674,0.048716467,-0.015729768,0.0,
1761853525609,62965790034520,MAG,25.81875,-22.275002,-6.39375,0.0,
1761853525612,62965793065718,ROT_VEC,0.32265124,0.46918494,0.60663676,0.5547554,
1761853525613,62965793210145,ACC,-1.2335001,8.958728,3.6167514,0.0,
1761853525620,62965801165458,GYRO,-1.527162E-4,0.11056653,-0.020311253,0.0,
1761853525630,62965810603218,MAG,25.81875,-22.275002,-5.7937503,0.0,2
1761853525633,62965813853166,ROT_VEC,0.32205135,0.46967134,0.6063075,0.5550522,2
1761853525633,62965814024103,ACC,-1.1880364,9.110672,3.9607196,0.0,2
1761853525641,62965822147645,GYRO,0.06139191,0.2367101,-0.03619374,0.0,2
1761853525649,62965829952958,MAG,24.16875,-24.093752,-4.275,0.0,2
1761853525654,62965834307593,ROT_VEC,0.32053462,0.4708634,0.60691124,0.55425984,2
1761853525654,62965834470718,ACC,-1.3435699,9.15793,3.4612179,0.0,2
1761853525664,62965844926812,GYRO,0.09987639,0.23991714,-0.04535671,0.0,2
1761853525669,62965849367281,MAG,24.975,-21.825,-5.55,0.0,2
1761853525675,62965855579728,ROT_VEC,0.31938726,0.47285396,0.6072224,0.55288506,2
1761853525675,62965855737072,ACC,-1.5744773,9.040084,2.989832,0.0,2
1761853525683,62965863560874,GYRO,0.08078687,0.13377939,-0.026419902,0.0,2
1761853525688,62965868789260,MAG,26.062502,-21.5625,-4.6875,0.0,2
1761853525696,62965876686864,ROT_VEC,0.32031056,0.47353625,0.60532963,0.55384165,2
1761853525697,62965877993947,ACC,-1.5170496,8.922237,2.7008986,0.0,2
1761853525715,62965895249989,GYRO,0.006261364,-0.0067195124,-0.00320704,0.0,2
1761853525715,62965895425926,MAG,24.300001,-24.862501,-4.33125,0.0,2
1761853525717,62965897449937,ACC,-1.3956138,8.969496,3.0293136,0.0,2
1761853525724,62965905074468,GYRO,-0.041844238,-0.11438443,0.0070249448,0.0,2
1761853525729,62965909701031,MAG,25.181252,-23.362501,-2.8125,0.0,2
1761853525737,62965918117749,ACC,-1.2951152,9.102298,3.473182,0.0,2
1761853525746,62965926565614,GYRO,-0.009926553,-0.12965605,0.005345067,0.0,2
1761853525749,62965929554520,ROT_VEC,0.32172167,0.47335455,0.60365164,0.5550093,2
1761853525749,62965929726708,ROT_VEC,0.32231992,0.47304836,0.6034039,0.55519265,2
1761853525749,62965929823531,MAG,24.50625,-22.237501,-3.61875,0.0,2
1761853525760,62965940429156,ACC,-1.2969099,9.131011,3.482155,0.0,2
1761853525766,62965946723739,GYRO,0.030390523,-0.11026109,-6.108648E-4,0.0,2
1761853525768,62965948833843,ROT_VEC,0.32285282,0.4725137,0.6033539,0.55539256,2
1761853525768,62965949023583,MAG,26.868752,-21.056252,-3.8437502,0.0,2
1761853525780,62965961096760,ACC,-1.3447664,9.027522,3.330809,0.0,2
1761853525787,62965967951760,GYRO,0.02046397,-0.047189303,-0.0018325944,0.0,2
1761853525788,62965969167072,ROT_VEC,0.32154885,0.47341284,0.6052834,0.5532799,2
1761853525789,62965969319885,MAG,24.018751,-23.00625,-5.3625,0.0,2
1761853525801,62965982130458,ACC,-1.3046865,8.979665,3.3326037,0.0,2
1761853525809,62965989696395,GYRO,0.011300999,0.016340632,-0.003817905,0.0,2
1761853525809,62965989851656,ROT_VEC,0.32026568,0.47445852,0.6066956,0.5515791,2
1761853525809,62965989941239,MAG,25.575,-21.675001,-4.8,0.0,2
1761853525828,62966008383999,ACC,-1.2891332,9.028718,3.4360933,0.0,2
1761853525830,62966010971447,ROT_VEC,0.31891975,0.47552994,0.60814977,0.5498321,2
1761853525830,62966011136812,MAG,25.10625,-22.59375,-6.05625,0.0,2
1761853525831,62966011436239,GYRO,0.029168794,0.0029016077,-0.008704823,0.0,2
1761853525843,62966023943999,ACC,-1.3387842,9.069994,3.5001013,0.0,2
1761853525848,62966029006499,ROT_VEC,0.31759498,0.476775,0.60966337,0.5478409,2
1761853525848,62966029157749,MAG,26.79375,-20.4375,-5.53125,0.0,2
1761853525850,62966030196551,GYRO,0.054366965,0.02367101,-0.007941242,0.0,2
1761853525864,62966044870197,ACC,-1.402194,9.075378,3.418147,0.0,2
1761853525869,62966049592228,ROT_VEC,0.31642643,0.47792098,0.61074495,0.5463117,2
1761853525869,62966049749937,MAG,25.29375,-23.831251,-5.08125,0.0,2
1761853525871,62966051572749,GYRO,0.053603385,0.06811142,-0.0074830935,0.0,2
1761853525885,62966065609728,ACC,-1.3914263,9.057432,3.2913275,0.0,2
1761853525889,62966069250249,ROT_VEC,0.3147855,0.47955725,0.6121613,0.54423666,2
1761853525889,62966069416395,MAG,24.975,-23.56875,-3.73125,0.0,2
1761853525891,62966071692176,GYRO,0.058795735,0.08964441,-0.0030543238,0.0,2
1761853525909,62966089506187,ACC,-1.2604194,9.036494,3.2733815,0.0,2
1761853525910,62966090916135,ROT_VEC,0.313424,0.48126802,0.6131926,0.54234797,2
1761853525910,62966091077333,MAG,27.150002,-21.0,-5.8875003,0.0,2
1761853525913,62966093273374,GYRO,0.05894845,0.10797035,-0.01282816,0.0,2
1761853525926,62966106758843,ACC,-1.2406785,9.048459,3.2177482,0.0,2
1761853525930,62966110668583,ROT_VEC,0.31228104,0.4827196,0.61409235,0.5406967,2
1761853525930,62966110813114,MAG,26.268751,-20.400002,-5.8500004,0.0,2
1761853525934,62966114492853,GYRO,0.054366965,0.091018856,-0.028405212,0.0,2
1761853525948,62966128694780,ACC,-1.3722838,9.05803,3.3631122,0.0,2
1761853525950,62966130366916,ROT_VEC,0.31122372,0.48422098,0.61480045,0.539157,2
1761853525950,62966130527749,MAG,23.831251,-23.53125,-4.8375,0.0,2
1761853525955,62966135370666,GYRO,0.062002774,0.098196514,-0.03451386,0.0,2
1761853525973,62966153499416,ACC,-1.4817554,9.065806,3.1232316,0.0,2
1761853525973,62966153676343,ROT_VEC,0.30976787,0.4857869,0.615914,0.5373127,2
1761853525973,62966153778791,MAG,26.212502,-22.35,-6.1125,0.0,2
1761853525975,62966155678895,GYRO,0.06444623,0.046883874,-0.018936807,0.0,2
1761853525989,62966169799728,ROT_VEC,0.30918372,0.48691508,0.6161902,0.5363103,2
1761853525989,62966169955718,ACC,-1.4404793,9.065208,3.0610185,0.0,2
1761853525989,62966170042905,MAG,23.38125,-23.15625,-4.7625003,0.0,2
1761853525996,62966176849260,GYRO,0.04703659,-7.6358096E-4,-0.010079269,0.0,2
1761853526011,62966191245562,ROT_VEC,0.30913776,0.48769706,0.6162082,0.53560513,2
1761853526011,62966191521135,ACC,-1.4117653,9.077172,3.062813,0.0,2
1761853526011,62966191606083,MAG,25.06875,-24.0375,-4.33125,0.0,2
1761853526017,62966198025510,GYRO,0.044287696,-0.029626941,-0.00320704,0.0,2
1761853526032,62966212210770,ROT_VEC,0.30877027,0.48835933,0.6167043,0.53464186,2
1761853526032,62966212489624,ACC,-1.3866407,9.010174,2.9192436,0.0,2
1761853526032,62966212578114,MAG,25.612501,-21.0375,-5.5687504,0.0,2
1761853526038,62966218641655,GYRO,0.00641408,-0.06826414,-0.007941242,0.0,2
1761853526049,62966230019468,MAG,25.593752,-22.48125,-5.49375,0.0,2
1761853526050,62966230498843,ROT_VEC,0.30895013,0.48858142,0.61669827,0.53434193,2
1761853526050,62966230717072,ACC,-1.4321043,9.092726,3.2745779,0.0,2
1761853526060,62966241104572,GYRO,0.005497783,-0.06536253,-0.0035124724,0.0,2
1761853526069,62966249407489,MAG,25.218752,-23.362501,-5.68125,0.0,2
1761853526072,62966252313010,ROT_VEC,0.30910057,0.4885664,0.61654335,0.53444743,2
1761853526072,62966252472853,ACC,-1.3914263,9.108279,3.4600215,0.0,2
1761853526080,62966260384885,GYRO,0.027947064,-7.6358096E-4,-0.0010690134,0.0,2
1761853526090,62966270829416,MAG,24.900002,-23.1,-3.7125,0.0,2
1761853526092,62966273032124,ROT_VEC,0.30859196,0.48901317,0.6168819,0.53394175,2
1761853526093,62966273191655,ACC,-1.3830515,9.107083,3.4301112,0.0,2
1761853526101,62966281227541,GYRO,0.049174614,0.08643737,-0.003817905,0.0,2
1761853526114,62966294677749,MAG,24.88125,-22.800001,-5.175,0.0,2
1761853526114,62966294971864,ROT_VEC,0.3079558,0.48975125,0.6172039,0.53326005,2
1761853526114,62966295082437,ACC,-1.3621143,9.04786,3.0035906,0.0,2
1761853526122,62966302239416,GYRO,0.04535671,0.059101168,-0.010079269,0.0,2
1761853526129,62966309738010,MAG,27.093752,-20.831251,-4.275,0.0,2
1761853526133,62966313956603,ROT_VEC,0.30836487,0.49008077,0.61669856,0.5333056,2
1761853526133,62966314131187,ACC,-1.4691931,9.065208,2.9671001,0.0,2
1761853526142,62966322961187,GYRO,0.023518294,-0.030390523,-0.0056504994,0.0,2
1761853526149,62966329366603,MAG,26.681252,-21.4125,-4.55625,0.0,2
1761853526155,62966335638270,ROT_VEC,0.30913332,0.4902167,0.61598223,0.53356355,2
1761853526155,62966335809885,ACC,-1.4703895,9.110074,3.3846476,0.0,2
1761853526163,62966343598374,GYRO,0.04856375,-0.033597562,0.009926553,0.0,2
1761853526168,62966348776447,MAG,25.218752,-21.768751,-5.49375,0.0,2
1761853526176,62966356757437,ROT_VEC,0.30902395,0.49082142,0.6160265,0.53301954,2
1761853526176,62966356912801,ACC,-1.3657036,9.162716,3.6861434,0.0,2
1761853526184,62966364646707,GYRO,0.107359484,0.09086613,0.011606431,0.0,2
1761853526189,62966369975718,MAG,24.50625,-22.893751,-5.55,0.0,2
1761853526197,62966377276968,ACC,-1.3579268,9.153743,3.418147,0.0,2
1761853526204,62966384918322,GYRO,0.15241076,0.18997894,0.0074830935,0.0,2
1761853526209,62966389769832,ROT_VEC,0.30804017,0.49231443,0.61675906,0.5313624,2
1761853526209,62966389919051,MAG,24.243752,-24.393751,-5.2312503,0.0,2
1761853526218,62966398291291,ACC,-1.4273187,9.097511,2.8151557,0.0,2
1761853526230,62966410265093,GYRO,0.13454297,0.14110976,0.005497783,0.0,2
1761853526230,62966410452176,ROT_VEC,0.3073742,0.49402487,0.6170509,0.5298195,2
1761853526230,62966410556916,MAG,23.60625,-23.737501,-3.6375,0.0,2
1761853526239,62966419507749,ACC,-1.5696917,9.035298,2.6398816,0.0,2
1761853526246,62966426743530,GYRO,0.07849612,0.045814857,0.021838415,0.0,2
1761853526248,62966428784624,ROT_VEC,0.30798662,0.49525866,0.61634284,0.52913576,2
1761853526248,62966428938478,MAG,24.675001,-22.518751,-3.6375,0.0,2
1761853526261,62966441388062,ACC,-1.5044873,9.092726,3.0496526,0.0,2
1761853526268,62966448337280,GYRO,0.056046844,0.030237807,0.0377209,0.0,2
1761853526269,62966449316812,ROT_VEC,0.30868027,0.4961022,0.61551994,0.52889913,2
1761853526269,62966449534624,MAG,26.98125,-21.525002,-6.24375,0.0,2
1761853526281,62966462105614,ACC,-1.329213,9.048459,2.7601209,0.0,2
1761853526289,62966469677072,GYRO,0.03604102,-0.006261364,0.057574004,0.0,2
1761853526289,62966469830301,ROT_VEC,0.30910045,0.49643314,0.61547756,0.52839226,2
1761853526289,62966469928374,MAG,25.800001,-22.275002,-4.74375,0.0,2
1761853526302,62966482255405,ACC,-1.3908281,8.922237,1.5553347,0.0,2
1761853526310,62966490664572,GYRO,-0.12599087,-0.18157956,0.05177079,0.0,2
1761853526310,62966490784832,ROT_VEC,0.31012943,0.4956767,0.61531264,0.5286915,2
1761853526310,62966490855926,MAG,25.781252,-22.9125,-4.5750003,0.0,2
1761853526322,62966502660197,ACC,-1.6701902,9.335598,3.1776686,0.0,2
1761853526329,62966509660457,ROT_VEC,0.31361032,0.493463,0.61295927,0.5314356,2
1761853526329,62966509877801,MAG,23.8125,-23.5125,-3.7687502,0.0,2
1761853526330,62966510234051,GYRO,-0.17898338,-0.320704,0.04734202,0.0,2
1761853526343,62966523866082,ACC,-1.8053846,9.249456,3.0759735,0.0,2
1761853526349,62966529919832,ROT_VEC,0.31467286,0.49100673,0.6130427,0.5329841,2
1761853526349,62966530137489,MAG,25.575,-22.612501,-2.5875,0.0,2
